id_dimension_ped,descripcion_dimension_ped,id_linea_estrategica_ped,descripcion_linea_estrategica_ped,id_objetivo_ped,descripcion_objetivo_ped,id_estrategia_ped,descripcion_estrategia_ped,id_ods,descripcion_ods,id_metas_ods,descripción_metas_ods
PED.D04,Administración Pública y Estado de Derecho,PED.04.01,Gobernanza,PED.04.01.02,"Consolidar una gestión pública abierta, transparente y cercana al ciudadano, sin cabida para la corrupción",PED.04.01.02.01,"Armonización legislativa y reglamentaria, que contemple principios de máxima transparencia.",ODS.16,"Objetivo 16: Promover sociedades, justas, pacíficas e inclusivas",MM.16.08,16.8 Ampliar y fortalecer la participación de los países en desarrollo en las instituciones de gobernanza mundial.
PED.D04,Administración Pública y Estado de Derecho,PED.04.01,Gobernanza,PED.04.01.02,"Consolidar una gestión pública abierta, transparente y cercana al ciudadano, sin cabida para la corrupción",PED.04.01.02.02,"Impulso de la coordinación entre el gobierno, la sociedad y la academia para garantizar la transparencia y la rendición de cuentas.",ODS.16,"Objetivo 16: Promover sociedades, justas, pacíficas e inclusivas",MM.16.08,16.8 Ampliar y fortalecer la participación de los países en desarrollo en las instituciones de gobernanza mundial.
PED.D04,Administración Pública y Estado de Derecho,PED.04.01,Gobernanza,PED.04.01.02,"Consolidar una gestión pública abierta, transparente y cercana al ciudadano, sin cabida para la corrupción",PED.04.01.02.03,"Fortalecimiento de la participación ciudadana mediante mecanismos ágiles y novedosos, que posibiliten su involucramiento en las decisiones relacionadas con la transparencia y la rendición de cuentas.",ODS.16,"Objetivo 16: Promover sociedades, justas, pacíficas e inclusivas",MM.16.08,16.8 Ampliar y fortalecer la participación de los países en desarrollo en las instituciones de gobernanza mundial.
PED.D04,Administración Pública y Estado de Derecho,PED.04.01,Gobernanza,PED.04.01.02,"Consolidar una gestión pública abierta, transparente y cercana al ciudadano, sin cabida para la corrupción",PED.04.01.02.04,"Capacitación permanente en temas de transparencia, ética, gobierno abierto y rendición de cuentas a todo el personal de la función pública.",ODS.16,"Objetivo 16: Promover sociedades, justas, pacíficas e inclusivas",MM.16.08,16.8 Ampliar y fortalecer la participación de los países en desarrollo en las instituciones de gobernanza mundial.
PED.D04,Administración Pública y Estado de Derecho,PED.04.01,Gobernanza,PED.04.01.02,"Consolidar una gestión pública abierta, transparente y cercana al ciudadano, sin cabida para la corrupción",PED.04.01.02.05,"Desarrollo de mecanismos más amplios y diversos para la difusión de informa- ción acerca de la situación financiera, los trámites, los servicios y los resultados de las acciones gubernamentales.",ODS.16,"Objetivo 16: Promover sociedades, justas, pacíficas e inclusivas",MM.16.08,16.8 Ampliar y fortalecer la participación de los países en desarrollo en las instituciones de gobernanza mundial.
PED.D04,Administración Pública y Estado de Derecho,PED.04.01,Gobernanza,PED.04.01.02,"Consolidar una gestión pública abierta, transparente y cercana al ciudadano, sin cabida para la corrupción",PED.04.01.02.01,"Armonización legislativa y reglamentaria, que contemple principios de máxima transparencia.",ODS.16,"Objetivo 16: Promover sociedades, justas, pacíficas e inclusivas",MM.16.10,"16.10 Garantizar el acceso público a la información y proteger las libertades fundamentales, de conformidad con las leyes nacionales y los acuerdos internacionales."
PED.D04,Administración Pública y Estado de Derecho,PED.04.01,Gobernanza,PED.04.01.02,"Consolidar una gestión pública abierta, transparente y cercana al ciudadano, sin cabida para la corrupción",PED.04.01.02.02,"Impulso de la coordinación entre el gobierno, la sociedad y la academia para garantizar la transparencia y la rendición de cuentas.",ODS.16,"Objetivo 16: Promover sociedades, justas, pacíficas e inclusivas",MM.16.10,"16.10 Garantizar el acceso público a la información y proteger las libertades fundamentales, de conformidad con las leyes nacionales y los acuerdos internacionales."
PED.D04,Administración Pública y Estado de Derecho,PED.04.01,Gobernanza,PED.04.01.02,"Consolidar una gestión pública abierta, transparente y cercana al ciudadano, sin cabida para la corrupción",PED.04.01.02.03,"Fortalecimiento de la participación ciudadana mediante mecanismos ágiles y novedosos, que posibiliten su involucramiento en las decisiones relacionadas con la transparencia y la rendición de cuentas.",ODS.16,"Objetivo 16: Promover sociedades, justas, pacíficas e inclusivas",MM.16.10,"16.10 Garantizar el acceso público a la información y proteger las libertades fundamentales, de conformidad con las leyes nacionales y los acuerdos internacionales."
PED.D04,Administración Pública y Estado de Derecho,PED.04.01,Gobernanza,PED.04.01.02,"Consolidar una gestión pública abierta, transparente y cercana al ciudadano, sin cabida para la corrupción",PED.04.01.02.04,"Capacitación permanente en temas de transparencia, ética, gobierno abierto y rendición de cuentas a todo el personal de la función pública.",ODS.16,"Objetivo 16: Promover sociedades, justas, pacíficas e inclusivas",MM.16.10,"16.10 Garantizar el acceso público a la información y proteger las libertades fundamentales, de conformidad con las leyes nacionales y los acuerdos internacionales."
PED.D04,Administración Pública y Estado de Derecho,PED.04.01,Gobernanza,PED.04.01.02,"Consolidar una gestión pública abierta, transparente y cercana al ciudadano, sin cabida para la corrupción",PED.04.01.02.05,"Desarrollo de mecanismos más amplios y diversos para la difusión de informa- ción acerca de la situación financiera, los trámites, los servicios y los resultados de las acciones gubernamentales.",ODS.16,"Objetivo 16: Promover sociedades, justas, pacíficas e inclusivas",MM.16.10,"16.10 Garantizar el acceso público a la información y proteger las libertades fundamentales, de conformidad con las leyes nacionales y los acuerdos internacionales."
