id_eje,descripcion_eje,id_programa_presupuestario,descripcion_programa_presupuestario,id_componente,descripcion_componente,id_siglas,descripcion_siglas,id_ods,descripcion_ods,id_meta,descripcion_meta,id_tema_general,descripcion_tema_general,id_tema_objetivo,descripcion_tema_objetivo,id_meta_rubro_propuesta,descripcion_meta_rubro_propuesta
3,Educación de Calidad,E038,Competencias para el trabajo,E038.C36,A. IEMS (Instituciones de educación Media Superior) con vinculación con el entorno operando. (SEG),SEG,Secretaría de Educación,04,"Objetivo 4: Garantizar una educación inclusiva, equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos",4.4,"4.4 Aumentar el número de jóvenes y adultos que tienen las competencias necesarias, en particular técnicas y profesionales, para acceder al empleo, el trabajo decente y el emprendimiento.",1,Educación,1.1,Educación,1.1.1,Educación
3,Educación de Calidad,E038,Competencias para el trabajo,E038.C92,A. IES (Instituciones de educación Superior) con vinculación con el entorno operando. SEG,SEG,Secretaría de Educación,04,"Objetivo 4: Garantizar una educación inclusiva, equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos",4.4,"4.4 Aumentar el número de jóvenes y adultos que tienen las competencias necesarias, en particular técnicas y profesionales, para acceder al empleo, el trabajo decente y el emprendimiento.",1,Educación,1.1,Educación,1.1.1,Educación
3,Educación de Calidad,P005,Gestión de centros escolares de Educación Media Superior y Superior,P005.C29,A. Procesos de planeación y evaluación institucional actualizados y fortalecidos para la toma de decisiones colegiadas en instituciones de educación media superior. SEG,SEG,Secretaría de Educación,04,"Objetivo 4: Garantizar una educación inclusiva, equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos",4.3,"4.3 Asegurar el acceso en condiciones de igualdad para todos los hombres y las mujeres a formación técnica, profesional y superior de calidad, incluida la enseñanza universitaria.",1,Educación,1.1,Educación,1.1.1,Educación
3,Educación de Calidad,E036,Divulgación de la ciencia y la tecnología,E036.C07,A. Programas de fomento a la vocación científica y tecnológica ofertados. UPGTO,UPGTO,Universidad Politécnica de Guanajuato,09,"Objetivo 9: Construir infraestructuras resilientes, promover la industrialización inclusiva y sostenible y fomentar la innovación",9.5,"9.5 Aumentar la investigación científica y mejorar la capacidad tecnológica de los sectores industriales de todos los países, el fomento a la innovación y el aumento de trabajadores en la esfera de investigación y desarrollo por cada millón de personas y los gastos en investigación y desarrollo de los sectores público y privado.",2,Economía,2.1,Infraestructura,2.1.1,"Industria, Innovación e Infraestructura"
3,Educación de Calidad,E036,Divulgación de la ciencia y la tecnología,E036.C09,A. Programas de fomento a la vocación científica y tecnológica ofertados. UVEG,UVEG,Universidad Virtual del Estado de Guanajuato,09,"Objetivo 9: Construir infraestructuras resilientes, promover la industrialización inclusiva y sostenible y fomentar la innovación",9.5,"9.5 Aumentar la investigación científica y mejorar la capacidad tecnológica de los sectores industriales de todos los países, el fomento a la innovación y el aumento de trabajadores en la esfera de investigación y desarrollo por cada millón de personas y los gastos en investigación y desarrollo de los sectores público y privado.",2,Economía,2.1,Infraestructura,2.1.1,"Industria, Innovación e Infraestructura"
3,Educación de Calidad,S016,"Investigación, desarrollo tecnológico, transferencia de tecnología e innovación",S016.C09,"A. Proyectos de investigación, innovación y desarrollo tecnológico realizados por instituciones de educación superior. ITESI",ITESI,Instituto Tecnológico Superior de Irapuato,09,"Objetivo 9: Construir infraestructuras resilientes, promover la industrialización inclusiva y sostenible y fomentar la innovación",9.5,"9.5 Aumentar la investigación científica y mejorar la capacidad tecnológica de los sectores industriales de todos los países, el fomento a la innovación y el aumento de trabajadores en la esfera de investigación y desarrollo por cada millón de personas y los gastos en investigación y desarrollo de los sectores público y privado.",2,Economía,2.1,Infraestructura,2.1.1,"Industria, Innovación e Infraestructura"
3,Educación de Calidad,S016,"Investigación, desarrollo tecnológico, transferencia de tecnología e innovación",S016.C06,"A. Proyectos de investigación, innovación y desarrollo tecnológico realizados por instituciones de educación superior. ITESS",ITESS,Instituto Tecnológico Superior de Salvatierra,09,"Objetivo 9: Construir infraestructuras resilientes, promover la industrialización inclusiva y sostenible y fomentar la innovación",9.5,"9.5 Aumentar la investigación científica y mejorar la capacidad tecnológica de los sectores industriales de todos los países, el fomento a la innovación y el aumento de trabajadores en la esfera de investigación y desarrollo por cada millón de personas y los gastos en investigación y desarrollo de los sectores público y privado.",2,Economía,2.1,Infraestructura,2.1.1,"Industria, Innovación e Infraestructura"
3,Educación de Calidad,S016,"Investigación, desarrollo tecnológico, transferencia de tecnología e innovación",S016.C12,"A. Proyectos de investigación, innovación y desarrollo tecnológico realizados por instituciones de educación superior. UPB",UPB,Universidad Politécnica del Bicentenario,09,"Objetivo 9: Construir infraestructuras resilientes, promover la industrialización inclusiva y sostenible y fomentar la innovación",9.5,"9.5 Aumentar la investigación científica y mejorar la capacidad tecnológica de los sectores industriales de todos los países, el fomento a la innovación y el aumento de trabajadores en la esfera de investigación y desarrollo por cada millón de personas y los gastos en investigación y desarrollo de los sectores público y privado.",2,Economía,2.1,Infraestructura,2.1.1,"Industria, Innovación e Infraestructura"
3,Educación de Calidad,S016,"Investigación, desarrollo tecnológico, transferencia de tecnología e innovación",S016.C11,"A. Proyectos de investigación, innovación y desarrollo tecnológico realizados por instituciones de educación superior. UPPE",UPPE,Universidad Politécnica de Pénjamo,09,"Objetivo 9: Construir infraestructuras resilientes, promover la industrialización inclusiva y sostenible y fomentar la innovación",9.5,"9.5 Aumentar la investigación científica y mejorar la capacidad tecnológica de los sectores industriales de todos los países, el fomento a la innovación y el aumento de trabajadores en la esfera de investigación y desarrollo por cada millón de personas y los gastos en investigación y desarrollo de los sectores público y privado.",2,Economía,2.1,Infraestructura,2.1.1,"Industria, Innovación e Infraestructura"
3,Educación de Calidad,S016,"Investigación, desarrollo tecnológico, transferencia de tecnología e innovación",S016.C07,"A. Proyectos de investigación, innovación y desarrollo tecnológico realizados por instituciones de educación superior. UTL",UTL,Universidad Tecnológica de León,09,"Objetivo 9: Construir infraestructuras resilientes, promover la industrialización inclusiva y sostenible y fomentar la innovación",9.5,"9.5 Aumentar la investigación científica y mejorar la capacidad tecnológica de los sectores industriales de todos los países, el fomento a la innovación y el aumento de trabajadores en la esfera de investigación y desarrollo por cada millón de personas y los gastos en investigación y desarrollo de los sectores público y privado.",2,Economía,2.1,Infraestructura,2.1.1,"Industria, Innovación e Infraestructura"
