ciclo,periodo,id_eje,decripción_eje,id_division,descripcion_division,id_centro_gestor,descripcion_centro_gestor,id_siglas,siglas_dependencia,id_programa_presupuestario,descripcion_programa_presupuestario,id_componente,descripcion_componente,id_proceso_proyecto,descripcion_proceso_proyecto,detalle,aprobado
2021,2021-01-01,1,Seguridad y Paz Social,4,Secretaría de Gobierno,410,Dirección General del Registro Civil,4,SG,E015,Certeza jurídica para la población guanajuatense,E015.C02,"Servicios de inscripción y certificación de actos registrales del estado civil al público en general, entregados, con el sistema de registros civiles modernizado",Q0308,Modernización del Registro Civil,"A través del proyecto de Modernización del Registro Civil se asignará y/o actualizara equipo tecnológico en todas las oficinas del Registro Civil en el Estado de manera constante, así como la asignación y/o actualización del mobiliario en las mismas de tal manera que se de cumplimento a la interconexión de oficinas al 100% y se mantenga una modernización constante en su infraestructura física y tecnológica, como se establece en el Plan de Gobierno 2018-2024.  De igual manera se realizaran acciones para la implementación de nuevos sistemas de atención para el mejoramiento y agilización de los procesos que eficienten el servicio a la ciudadanía. Se atenderán los rezagos de digitalización de actas, así como la captura de registros pendientes de integrar a la Base de Datos Nacional, mediante la contratación de servicio externo o de personal bajo la modalidad de honorarios, y la capacitación del personal en materia registral. De igual manera se espera que en conjunto con la participación del Gobierno Federal, a través de un anexo de asignación y transferencia de recursos, se implementaran campañas de subregistro y actulaización de registros con el fin de abatir el subregistro y atender a personas en situación de vulnerabilidad. Todo lo anterior con el fin de mantener y ofrecer servicios registrales del estado civil de las personas de manera eficiente, disminuyendo tiempos de respuesta y mediante procesos e instalaciones modernizadas.",2533075.33
2021,2021-01-01,1,Seguridad y Paz Social,4,Secretaría de Gobierno,419,Secretariado Ejecutivo del Sistema Estatal de Seguridad Pública,4,SG,P014,Fortalecimiento del sistema estatal de seguridad pública,P014.C01,Vehículos del Estado de Guanajuato inscritos en el Registro Público Vehicular,Q0313,Registro Público Vehicular,"El REPUVE es un registro de información que se utiliza en todo el país, cuyo fin primordial es el de dar Seguridad Pública y jurídica a cualquier acto que se realicen con vehículos que circulen en territorio nacional, mediante la identificación y control vehicular; brindando y orientando servicios de información al público en general, lo anterior de manera gratuita.  El registro está conformado por una base de datos integrada por la información que de cada vehículo proporcionen las autoridades federales, las entidades federativas y los sujetos obligados, quienes están encargados de realizar las inscripciones y a presentar los avisos respectivos de conformidad con lo dispuesto en la Ley del Registro Público Vehicular, La Ley de Movilidad para el Estado de Guanajuato y sus Municipios y su Reglamento. Sus mayores beneficios están: 1. Apoyar al combate de robo y tráfico ilegal de vehículos. 2. proporcionar información confiable y oportuna sobre vehículos que circulan en el país a los cuerpos de seguridad pública, tránsito y procuración de justicia. 3. identifica las unidades que circulan en el país por medio del uso de tecnología de radiofrecuencia (RFID). 4. presta servicios gratuitos de consulta vehicular a la ciudadanía. 5. Contribuye a las estrategias de prevención del delito.  6. Regula y homologa los criterios para el control vehicular, creando infraestructura para la Seguridad Pública. El Registro Público Vehicular en el Estado de Guanajuato, ha instaurado mecanismos de maduración y reingeniería administrativa y operativa que han dado paso a la evolución de procesos y procedimientos que abonan a la consolidación del Sistema Estatal de Seguridad Pública, apostando en todo momento la colaboración y coordinación interinstitucional con las dependencias que como actividades sustantivas tienen el encargo de la vigilancia, operación y control del Sistema a referencia. Por ello, se ha trabajado sin descanso en la búsqueda de construcción de lazos permanentes con las inst",2500000
2021,2021-01-01,1,Seguridad y Paz Social,4,Secretaría de Gobierno,419,Secretariado Ejecutivo del Sistema Estatal de Seguridad Pública,4,SG,P014,Fortalecimiento del sistema estatal de seguridad pública,P014.C03,Fondos y subsidios federales y estatales en materia de seguridad pública monitoreados y evaluados,Q0314,Programa de Seguimiento y Evaluación del Fondo de Aportaciones de Seguridad Pública,"El programa de Seguimiento y evaluación del Fondo de Aportaciones de Seguridad Pública, se encarga de dar atención a las obligaciones convenidas del ejecutivo con la federación para dar seguimiento y evaluar el impacto de la aplicación de recursos federales para la seguridad pública en la entidad,  tomando como base los lineamientos emitidos por el Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública, el enlace operativo de este programa se da la tarea de contratar un evaluador externo el cual tiene como compromiso generar el informe gráfico de resultados, por medio de la aplicación de una  encuesta institucional realizada a algunos elementos operativos del Sistema Estatal de Seguridad Pública (Policías preventivos estatales, Agentes de investigación criminalística y custodios penitenciarios),    este mismo evaluador tiene el compromiso de realizar la  evaluación integral FASP de la que se obtiene el informe estatal de evaluación, en este se consideran los resultados e impactos obtenidos del cumplimiento de las metas, así como el análisis del cumplimiento de los fines y propósitos para los que fueron destinados los recursos respectivos. También se contrata a una persona eventual para dar seguimiento integral a la aplicación de recursos federales y estatales en materia de seguridad pública y al cumplimiento de metas.",1815824
2021,2021-01-01,1,Seguridad y Paz Social,4,Secretaría de Gobierno,419,Secretariado Ejecutivo del Sistema Estatal de Seguridad Pública,4,SG,P014,Fortalecimiento del sistema estatal de seguridad pública,P014.C03,Fondos y subsidios federales y estatales en materia de seguridad pública monitoreados y evaluados,Q3074,Fondo Estatal para el Fortalecimiento de la Seguridad Pública Municipal,"El SESESP mediante el presente proyecto, fortalece el desempeño en materia de seguridad pública a los municipios del Estado, como complemento o compensación a los fondos y subsidios existentes en materia de Seguridad Pública, atendiendo los siguientes ejes estratégicos:  I. Profesionalización II. Equipo e Infraestructura III. Tecnologías de la Información IV. Prevención Social de la Violencia y la Delincuencia;  Para lograr el objetivo del Fondo el SESESP crea y publica los Lineamientos aprobados por el Consejo Estatal de Seguridad Pública; donde se determina la distribución de los recursos a los municipios; se suscriben Convenios y Anexos; El SESESP es quien realiza la contratación y adquisición de los bienes y servicios. Los cuales son transferidos a los municipios adheridos al fondo para la atención de necesidades en materia de Seguridad Pública. En dos periodos: 1) Hasta por un monto de 70% y el 2) Hasta por un monto de 30%. Con base al cumplimiento de los compromisos coordinados por la Secretaría de Seguridad Pública. Se realiza la entrega de los bienes y servicios adquiridos a cada uno de los municipios.  Estos bienes y servicios se otorgan en 3 momentos distintos durante el ejercicio, primer, segundo periodo y bolsa. El apoyo que se otorga en bienes y servicios es por concepto de: bastón policial, cascos balísticos, chalecos balísticos, equipo antimotín, escudo antimotín, escudo balístico, esposas, fornituras, gas lacrimógeno, lámpara de mano, libretas, plumas, lector biométrico, planta de emergencia, radio móvil radio portátil, sedán equipado como patrulla, pick up equipada como patrulla, cuatrimoto equipada como patrulla, motocicleta equipada como patrulla, bicicletas y profesionalización de los elementos.",14633483.67
2021,2021-01-01,1,Seguridad y Paz Social,4,Secretaría de Gobierno,419,Secretariado Ejecutivo del Sistema Estatal de Seguridad Pública,4,SG,P014,Fortalecimiento del sistema estatal de seguridad pública,P014.C03,Fondos y subsidios federales y estatales en materia de seguridad pública monitoreados y evaluados,Q3081,Fondo de Fortalecimiento a la participación Social Ciudadana con enfoque a la Seguridad del Estado,"Fideicomiso de Administración e Inversión para financiar obras, infraestructura, proyectos y acciones prioritarias en materia de Desarrollo Social y Seguridad Pública para el estado de Guanajuato (FIDESSEG).    El mecanismo de asignacion de recursos será:  1. Publicar la Convocatoria en las que se darán a conocer las bases para otorgar los apoyos 2. Los beneficiados son: Ciudadanos de Guanajuato que participen a través de Fundaciones con modelo de responsabilidad social compartida, así como dependencias y entidades de la administración pública estatal   3. Los Proyectos serán evaluados atendiendo a los criterios señalados en las Convocatoria, y serán revisados y aprobados en Sesiones de Comité. 4. El recurso bajara a través del Fideicomiso los solicitantes y se someterá a evaluaciones 5. Se hara un convenio entre Fideicomiso y Organismo Ejecutor (dependencias o entidades  estatales y municipales, así como con instituciones privadas) con la finalidad de potenciar los recursos, impacto social y evitar duplicidad de acciones. Se espera apoyar los proyectos que cumplan con las caracteristicas de eligilibilidad publicadas en las Reglas de Operación y sean sometidos a las 4 sesiones de Comité para su revisión y aprobación.",517162551
2021,2021-01-01,2,Desarrollo Humano y Social,5,Secretaría de Desarrollo Social y Humano,504,Subsecretaría de Inclusión E Inversión Para El desarrollo Social,5,SDSH,S019,Impulso a la infraestructura y servicios para el desarrollo comunitario y regional,S019.C02,"Obras de infraestructura básica y comunitaria, urbana y rural, ejecutadas.",Q3564,"Programa de Infraestructura Social, Sostenible y para el Desarrollo Regional","Construcción, mejoramiento, rehabilitación, reposición y equipamiento de infraestructura básica comunitaria y de saneamiento, infraestructura de espacios públicos, infraestructura para la asistencia social, infraestructura deportiva, infraestructura de calles y vialidades, e infraestructura para el desarrollo y competitividad regional.",1000000000
2021,2021-01-01,2,Desarrollo Humano y Social,5,Secretaría de Desarrollo Social y Humano,506,Dirección General de Inversión Para la Infraestructura Social,5,SDSH,S019,Impulso a la infraestructura y servicios para el desarrollo comunitario y regional,S019.C06,Infraestructura básica y comunitaria ejecutada en comunidades indígenas,Q0250,Servicios Básicos Zonas Indígenas,"El Programa tiene el propósito de impulsar que las localidades Indígenas de la Entidad dispongan de infraestructura básica -agua potable, drenaje, electrificación -, complementaria - sanitarios secos/letrinas, sanitarios con biodigestor, depósito, tanque o cisterna de agua potable -, o comunitaria - caminos rurales, calles y vialidades, alumbrado público de calles, puentes peatonales y vehiculares, ademes, plazas, parques, jardínes, edificios públicos; obras de infraestructura básica educativa, deportiva y para la salud, entre oros -, para contribuir a la reducción de la pobreza en el Estado de Guanajuato.  La población potencial del Programa son las localidades indígenas del Estado de Guanajuato, y que presenten infraestructura básica, complementaria o comunitaria insuficiente o en condiciones precarias.  El Programa se podrá aplicar en los municipios que cuenten con localidades indígenas, preferentemente las registradas en el Padrón de Pueblos y Comunidades Indígenas del Estado de Guanajuato.  Asimismo, para el logro de los objetivos del Programa se podrá concurrir recursos con las administraciones municipales.  Se anexa Descripción del Proyecto.",6000000
2021,2021-01-01,2,Desarrollo Humano y Social,5,Secretaría de Desarrollo Social y Humano,506,Dirección General de Inversión Para la Infraestructura Social,5,SDSH,S019,Impulso a la infraestructura y servicios para el desarrollo comunitario y regional,S019.C02,"Obras de infraestructura básica y comunitaria, urbana y rural, ejecutadas.",Q0251,Servicios Básicos Gto.,"El Programa tiene el propósito de impulsar que las localidades urbanas y rurales de la Entidad, dispongan de infraestructura básica – agua potable, drenaje y electrificación-, complementaria -tales como sanitarios secos/letrinas, sanitarios con biodigestor, depósito, tanque o cisterna de agua potable - o comunitaria – la cual comprende calles y vialidades, alumbrado público de calles, entre otros -, para contribuir a la reducción de la pobreza en el Estado de Guanajuato.  La población potencial del Programa son las localidades del Estado de Guanajuato, con una población igual o mayor a 1000 habitantes y cabeceras municipales con cualquier tamaño de población, de acuerdo con la información estadística que al efecto emita el Instituto Nacional de Estadística, Geografía e Información, correspondiente al censo de población y vivienda más reciente, y que presenten infraestructura básica, complementaria o comunitaria insuficiente o en condiciones precarias.  El Programa se podrá aplicar en los municipios del Estado de Guanajuato, otorgando preferencia a las zonas de atención prioritaria y según los modelos de intervención establecidos por la Secretaría.  Asimismo, para el logro de los objetivos del Programa se podrá concurrir recursos con las administraciones municipales.  Se anexa Descripción del Proyecto.",119888434
2021,2021-01-01,2,Desarrollo Humano y Social,5,Secretaría de Desarrollo Social y Humano,506,Dirección General de Inversión Para la Infraestructura Social,5,SDSH,S019,Impulso a la infraestructura y servicios para el desarrollo comunitario y regional,S019.C01,"Obras infraestructura básica, comunitaria, complementaria y productiva rural, ejecutadas",Q0252,Servicios Básicos en mi Comunidad,"El Programa tiene el propósito de impulsar que las localidades rurales de la Entidad dispongan de infraestructura básica – agua potable, drenaje y electrificación-, complementaria - sanitarios secos/letrinas, sanitarios con biodigestor, depósito, tanque o cisterna de agua potable - o comunitaria - caminos rurales, calles y vialidades, alumbrado público de calles, ademes, puentes peatonales y vehiculares, plazas, parques, jardínes, edificios públicos; obras de infraestructura básica educativa, deportiva y para la salud, entre otros -, para contribuir a la reducción de la pobreza en el Estado de Guanajuato.  La población potencial del Programa son las localidades rurales del Estado de Guanajuato, con una población menor a 1000 habitantes, de acuerdo con la información estadística que al efecto emita el Instituto Nacional de Estadística, Geografía e Información, correspondiente al censo de población y vivienda más reciente, y que presenten infraestructura básica, complementaria o comunitaria insuficiente o en condiciones precarias.  El Programa se podrá aplicar en los municipios del Estado de Guanajuato, otorgando preferencia a las zonas de atención prioritaria y según los modelos de intervención establecidos por la Secretaría.  Asimismo, para el logro de los objetivos del Programa se podrá concurrir recursos con las administraciones municipales.  Se anexa Descripción del Proyecto.",65800000
2021,2021-01-01,2,Desarrollo Humano y Social,5,Secretaría de Desarrollo Social y Humano,506,Dirección General de Inversión Para la Infraestructura Social,5,SDSH,S019,Impulso a la infraestructura y servicios para el desarrollo comunitario y regional,S019.C07,Espacios públicos construidos y rehabilitados para contribuir a mejorar la cohesión social,Q0254,Vivo los espacios de Mi Colonia,"El Programa tiene como propósito impulsar que las localidades urbanas y rurales del Estado de Guanajuato dispongan de espacios públicos confortables y seguros, para contribuir al fortalecimiento de la cohesión social.  Para ello, a través del programa se llevarán a cabo obras o accione de rehabilitación, construcción o equipamiento de espacios públicos de beneficio comunitario para el desarrollo de actividades recreativas, de esparcimiento, culturales y deportivas, tales como: plazas, jardines, parques, canchas deportivas, gimnasios al aire libre, entre otros. La población potencial del Programa son las localidades urbanas y rurales del Estado de Guanajuato con carencia o deterioro de espacios públicos. El Programa se podrá aplicar en los municipios del Estado de Guanajuato, otorgando preferencia a las zonas de atención prioritaria y según los modelos de intervención establecidos por la Secretaría. Es importante construir, rehabilitar y equipar espacios públicos que permitan la oportunidad de generar expresiones comunitarias para el desarrollo y socialización de actividades recreativas, de esparcimiento, físicas, artísticas y culturales. Con ello, se fomentará la convivencia comunitaria y se incidirá en el fortalecimiento del capital social. De la misma forma, se buscará fomentar un mayor nivel de desarrollo y mejores condiciones de vida para prevenir conductas delictivas en las comunidades y espacios urbanos, y que garanticen a toda la población el goce de sus derechos y libertades. Asimismo, para el logro de los objetivos del Programa se podrá concurrir recursos con las administraciones municipales.  Se anexa Descripción del Proyecto.",34000000
