id,Municipio,Poblacion,Latitud,Longitud
001,	Abasolo,	92040,	20.4551161,	-101.5267411
002,	Acámbaro,	108697,	20.0238688,	-100.7125272
003,	San Miguel de Allende,	174615,	20.9150532,	-100.7447025
004,	Apaseo el Alto,	63392,	20.454001,	-100.6244166
005,	Apaseo el Grande,	117883,	20.5488361,	-100.6807359
006,	Atarjea,	5296,	21.2676273,	-99.7189702
007,	Celaya,	521169,	20.5285503,	-100.8161564
008,	Manuel Doblado,	41240,	20.7302776,	-101.953333
009,	Comonfort,	82216,	20.7168924,	-100.7566453
010,	Coroneo,	11083,	20.2018186,	-100.3685662
011,	Cortazar,	97928,	20.4785061,	-100.9606004
012,	Cuerámaro,	30857,	20.6222071,	-101.6758451
013,	Doctor Mora,	27390,	21.1417583,	-100.3202036
014,	Dolores Hidalgo Cuna de la Independencia Nacional,	163038,	21.1591158,	-100.9315147
015,	Guanajuato,	194500,	21.0251078,	-101.2578801
016,	Huanímaro,	21128,	20.3668852,	-101.4969832
017,	Irapuato,	592953,	20.6774973,	-101.341803
018,	Jaral del Progreso,	38782,	20.3702283,	-101.0691085
019,	Jerécuaro,	49517,	20.1516404,	-100.5090441
020,	León,	1721215,	21.1219138,	-101.6660114
021,	Moroleón,	47261,	20.1258817,	-101.1980805
022,	Ocampo,	26383,	21.6473995,	-101.4815528
023,	Pénjamo,	154960,	20.4271202,	-101.719103
024,	Pueblo Nuevo,	12403,	20.5267128,	-101.3730478
025,	Purísima del Rincón,	83842,	20.8896946,	-101.91255
026,	Romita,	65766,	20.8719162,	-101.5154502
027,	Salamanca,	273417,	20.5664962,	-101.1826315
028,	Salvatierra,	94126,	20.2143956,	-100.8762541
029,	San Diego de la Unión,	41054,	21.4657248,	-100.8725405
030,	San Felipe,	119793,	21.4799138,	-101.2150035
031,	San Francisco del Rincón,	130871,	21.0200592,	-101.8500526
032,	San José Iturbide,	89558,	21.0015649,	-100.3871265
033,	San Luis de la Paz,	128536,	21.2934436,	-100.5168806
034,	Santa Catarina,	5723,	21.142389,	-100.0711054
035,	Santa Cruz de Juventino Rosas,	82340,	20.6447514,	-101.0087015
036,	Santiago Maravatío,	6714,	20.1723032,	-100.9947818
037,	Silao de la Victoria,	203556,	20.9475685,	-101.4278371
038,	Tarandacuao,	11304,	20.0040997,	-100.5218297
039,	Tarimoro,	35905,	20.2851168,	-100.754397
040,	Tierra Blanca,	20007,	21.098124,	-100.1604313
041,	Uriangato,	61494,	20.138919,	-101.1766932
042,	Valle de Santiago,	150054,	20.3938937,	-101.1936769
043,	Victoria,	21253,	21.2108852,	-100.2179377
044,	Villagrán,	65791,	20.5164735,	-100.9970197
045,	Xichú,	11143,	21.2988026,	-100.0562491
046,	Yuriria,	68741,	20.2108103,	-101.1261454
