ciclo,periodo,id_eje,decripción_eje,id_division,descripcion_division,id_centro_gestor,descripcion_centro_gestor,id_siglas,descripcion_siglas,id_programa_presupuestario,descripcion_programa_presupuestario,id_proceso_proyecto,descripcion_proceso_proyecto,Municipio,Monto
2021,2021-03-31,5,Desarrollo Ordenado y Sostenible,30,Sector Paraestatal,3009,Comisión Estatal del Agua de Guanajuato,30,CEAG,K003,Sistemas de Abastecimiento de Agua con Calidad,Q0044,Abastecimiento de Agua a Zonas Rurales,Abasolo," 4,076,633.36 "
2021,2021-03-31,5,Desarrollo Ordenado y Sostenible,30,Sector Paraestatal,3009,Comisión Estatal del Agua de Guanajuato,30,CEAG,K003,Sistemas de Abastecimiento de Agua con Calidad,Q0044,Abastecimiento de Agua a Zonas Rurales,Apaseo el Grande," 1,250,000.00 "
2021,2021-03-31,5,Desarrollo Ordenado y Sostenible,30,Sector Paraestatal,3009,Comisión Estatal del Agua de Guanajuato,30,CEAG,K003,Sistemas de Abastecimiento de Agua con Calidad,Q0044,Abastecimiento de Agua a Zonas Rurales,Cobertura Estatal," 2,197,629.70 "
2021,2021-03-31,5,Desarrollo Ordenado y Sostenible,30,Sector Paraestatal,3009,Comisión Estatal del Agua de Guanajuato,30,CEAG,K003,Sistemas de Abastecimiento de Agua con Calidad,Q0044,Abastecimiento de Agua a Zonas Rurales,Comonfort," 188,176.00 "
2021,2021-03-31,5,Desarrollo Ordenado y Sostenible,30,Sector Paraestatal,3009,Comisión Estatal del Agua de Guanajuato,30,CEAG,K003,Sistemas de Abastecimiento de Agua con Calidad,Q0044,Abastecimiento de Agua a Zonas Rurales,Cortazar," 375,000.00 "
2021,2021-03-31,5,Desarrollo Ordenado y Sostenible,30,Sector Paraestatal,3009,Comisión Estatal del Agua de Guanajuato,30,CEAG,K003,Sistemas de Abastecimiento de Agua con Calidad,Q0044,Abastecimiento de Agua a Zonas Rurales,Doctor Mora," 150,000.00 "
2021,2021-03-31,5,Desarrollo Ordenado y Sostenible,30,Sector Paraestatal,3009,Comisión Estatal del Agua de Guanajuato,30,CEAG,K003,Sistemas de Abastecimiento de Agua con Calidad,Q0044,Abastecimiento de Agua a Zonas Rurales,Irapuato," 1,745,743.20 "
2021,2021-03-31,5,Desarrollo Ordenado y Sostenible,30,Sector Paraestatal,3009,Comisión Estatal del Agua de Guanajuato,30,CEAG,K003,Sistemas de Abastecimiento de Agua con Calidad,Q0044,Abastecimiento de Agua a Zonas Rurales,Jérecuaro," 2,053,458.94 "
2021,2021-03-31,5,Desarrollo Ordenado y Sostenible,30,Sector Paraestatal,3009,Comisión Estatal del Agua de Guanajuato,30,CEAG,K003,Sistemas de Abastecimiento de Agua con Calidad,Q0044,Abastecimiento de Agua a Zonas Rurales,Ocampo," 625,000.00 "
2021,2021-03-31,5,Desarrollo Ordenado y Sostenible,30,Sector Paraestatal,3009,Comisión Estatal del Agua de Guanajuato,30,CEAG,K003,Sistemas de Abastecimiento de Agua con Calidad,Q0044,Abastecimiento de Agua a Zonas Rurales,Purísima del Rincón," 1,000,000.00 "
2021,2021-03-31,5,Desarrollo Ordenado y Sostenible,30,Sector Paraestatal,3009,Comisión Estatal del Agua de Guanajuato,30,CEAG,K003,Sistemas de Abastecimiento de Agua con Calidad,Q0044,Abastecimiento de Agua a Zonas Rurales,Romita," 1,650,000.00 "
2021,2021-03-31,5,Desarrollo Ordenado y Sostenible,30,Sector Paraestatal,3009,Comisión Estatal del Agua de Guanajuato,30,CEAG,K003,Sistemas de Abastecimiento de Agua con Calidad,Q0044,Abastecimiento de Agua a Zonas Rurales,San Diego de la Unión," 375,000.00 "
2021,2021-03-31,5,Desarrollo Ordenado y Sostenible,30,Sector Paraestatal,3009,Comisión Estatal del Agua de Guanajuato,30,CEAG,K003,Sistemas de Abastecimiento de Agua con Calidad,Q0044,Abastecimiento de Agua a Zonas Rurales,San Felipe," 2,500,000.00 "
2021,2021-03-31,5,Desarrollo Ordenado y Sostenible,30,Sector Paraestatal,3009,Comisión Estatal del Agua de Guanajuato,30,CEAG,K003,Sistemas de Abastecimiento de Agua con Calidad,Q0044,Abastecimiento de Agua a Zonas Rurales,Santa Cruz de Juventino Rosas," 250,000.00 "
2021,2021-03-31,5,Desarrollo Ordenado y Sostenible,30,Sector Paraestatal,3009,Comisión Estatal del Agua de Guanajuato,30,CEAG,K003,Sistemas de Abastecimiento de Agua con Calidad,Q0044,Abastecimiento de Agua a Zonas Rurales,Santiago Maravatío," 33,000.00 "
2021,2021-03-31,5,Desarrollo Ordenado y Sostenible,30,Sector Paraestatal,3009,Comisión Estatal del Agua de Guanajuato,30,CEAG,K003,Sistemas de Abastecimiento de Agua con Calidad,Q0044,Abastecimiento de Agua a Zonas Rurales,Victoria," 12,400,000.00 "
2021,2021-03-31,5,Desarrollo Ordenado y Sostenible,30,Sector Paraestatal,3009,Comisión Estatal del Agua de Guanajuato,30,CEAG,K003,Sistemas de Abastecimiento de Agua con Calidad,Q0044,Abastecimiento de Agua a Zonas Rurales,Yuriria," 1,500,000.00 "
2021,2021-03-31,7,Poderes y Autónomos,AU,Organismos Autónomos,AU08,Fiscalía General del Estado de Guanajuato,AU,FGEG,E030,Efectividad del sector de procuración de justicia,Q3109,Academia de Policía Ministerial,Cobertura Estatal," 120,000.00 "
2021,2021-03-31,7,Poderes y Autónomos,AU,Organismos Autónomos,AU08,Fiscalía General del Estado de Guanajuato,AU,FGEG,E030,Efectividad del sector de procuración de justicia,Q3109,Academia de Policía Ministerial,Guanajuato," 873,819.00 "
2021,2021-03-31,5,Desarrollo Ordenado y Sostenible,20,"Secretaría de Infraestructura, Conectividad y Movilidad",2009,Dirección General de Carreteras Estatales,20,SICOM,K004,Infraestructura para el Desarrollo,Q3407,Acceso a la Nave Impulsora de Empleo en Tarimoro,Tarimoro," 2,498,980.76 "
2021,2021-03-31,2,Desarrollo Humano y Social,30,Sector Paraestatal,3029,Instituto Para las Mujeres Guanajuatenses,30,IMUG,E045,Acceso equitativo y oportunidades de desarrollo para mujeres y hombres,Q3195,Acceso de las mujeres a oportunidades de desarrollo en condiciones de igualdad,Abasolo," 260,086.00 "
2021,2021-03-31,2,Desarrollo Humano y Social,30,Sector Paraestatal,3029,Instituto Para las Mujeres Guanajuatenses,30,IMUG,E045,Acceso equitativo y oportunidades de desarrollo para mujeres y hombres,Q3195,Acceso de las mujeres a oportunidades de desarrollo en condiciones de igualdad,Acámbaro," 179,914.00 "
2021,2021-03-31,2,Desarrollo Humano y Social,30,Sector Paraestatal,3029,Instituto Para las Mujeres Guanajuatenses,30,IMUG,E045,Acceso equitativo y oportunidades de desarrollo para mujeres y hombres,Q3195,Acceso de las mujeres a oportunidades de desarrollo en condiciones de igualdad,Apaseo el Alto," 208,069.00 "
2021,2021-03-31,2,Desarrollo Humano y Social,30,Sector Paraestatal,3029,Instituto Para las Mujeres Guanajuatenses,30,IMUG,E045,Acceso equitativo y oportunidades de desarrollo para mujeres y hombres,Q3195,Acceso de las mujeres a oportunidades de desarrollo en condiciones de igualdad,Apaseo el Grande," 159,035.00 "
2021,2021-03-31,2,Desarrollo Humano y Social,30,Sector Paraestatal,3029,Instituto Para las Mujeres Guanajuatenses,30,IMUG,E045,Acceso equitativo y oportunidades de desarrollo para mujeres y hombres,Q3195,Acceso de las mujeres a oportunidades de desarrollo en condiciones de igualdad,Atarjea," 260,086.00 "
2021,2021-03-31,2,Desarrollo Humano y Social,30,Sector Paraestatal,3029,Instituto Para las Mujeres Guanajuatenses,30,IMUG,E045,Acceso equitativo y oportunidades de desarrollo para mujeres y hombres,Q3195,Acceso de las mujeres a oportunidades de desarrollo en condiciones de igualdad,Celaya," 393,949.00 "
2021,2021-03-31,2,Desarrollo Humano y Social,30,Sector Paraestatal,3029,Instituto Para las Mujeres Guanajuatenses,30,IMUG,E045,Acceso equitativo y oportunidades de desarrollo para mujeres y hombres,Q3195,Acceso de las mujeres a oportunidades de desarrollo en condiciones de igualdad,Comonfort," 63,948.00 "
2021,2021-03-31,2,Desarrollo Humano y Social,30,Sector Paraestatal,3029,Instituto Para las Mujeres Guanajuatenses,30,IMUG,E045,Acceso equitativo y oportunidades de desarrollo para mujeres y hombres,Q3195,Acceso de las mujeres a oportunidades de desarrollo en condiciones de igualdad,Coroneo," 159,035.00 "
2021,2021-03-31,2,Desarrollo Humano y Social,30,Sector Paraestatal,3029,Instituto Para las Mujeres Guanajuatenses,30,IMUG,E045,Acceso equitativo y oportunidades de desarrollo para mujeres y hombres,Q3195,Acceso de las mujeres a oportunidades de desarrollo en condiciones de igualdad,Cortazar," 92,103.00 "
2021,2021-03-31,2,Desarrollo Humano y Social,30,Sector Paraestatal,3029,Instituto Para las Mujeres Guanajuatenses,30,IMUG,E045,Acceso equitativo y oportunidades de desarrollo para mujeres y hombres,Q3195,Acceso de las mujeres a oportunidades de desarrollo en condiciones de igualdad,Cuerámaro," 104,034.00 "
2021,2021-03-31,2,Desarrollo Humano y Social,30,Sector Paraestatal,3029,Instituto Para las Mujeres Guanajuatenses,30,IMUG,E045,Acceso equitativo y oportunidades de desarrollo para mujeres y hombres,Q3195,Acceso de las mujeres a oportunidades de desarrollo en condiciones de igualdad,Doctor Mora," 104,034.00 "
2021,2021-03-31,2,Desarrollo Humano y Social,30,Sector Paraestatal,3029,Instituto Para las Mujeres Guanajuatenses,30,IMUG,E045,Acceso equitativo y oportunidades de desarrollo para mujeres y hombres,Q3195,Acceso de las mujeres a oportunidades de desarrollo en condiciones de igualdad,Dolores Hidalgo Cuna de la Independencia Nacional," 275,000.00 "
2021,2021-03-31,2,Desarrollo Humano y Social,30,Sector Paraestatal,3029,Instituto Para las Mujeres Guanajuatenses,30,IMUG,E045,Acceso equitativo y oportunidades de desarrollo para mujeres y hombres,Q3195,Acceso de las mujeres a oportunidades de desarrollo en condiciones de igualdad,Guanajuato," 1,476,052.00 "
2021,2021-03-31,2,Desarrollo Humano y Social,30,Sector Paraestatal,3029,Instituto Para las Mujeres Guanajuatenses,30,IMUG,E045,Acceso equitativo y oportunidades de desarrollo para mujeres y hombres,Q3195,Acceso de las mujeres a oportunidades de desarrollo en condiciones de igualdad,Huanímaro," 205,086.00 "
2021,2021-03-31,2,Desarrollo Humano y Social,30,Sector Paraestatal,3029,Instituto Para las Mujeres Guanajuatenses,30,IMUG,E045,Acceso equitativo y oportunidades de desarrollo para mujeres y hombres,Q3195,Acceso de las mujeres a oportunidades de desarrollo en condiciones de igualdad,Irapuato," 613,948.00 "
2021,2021-03-31,2,Desarrollo Humano y Social,30,Sector Paraestatal,3029,Instituto Para las Mujeres Guanajuatenses,30,IMUG,E045,Acceso equitativo y oportunidades de desarrollo para mujeres y hombres,Q3195,Acceso de las mujeres a oportunidades de desarrollo en condiciones de igualdad,Jaral del Progreso," 124,913.00 "
2021,2021-03-31,2,Desarrollo Humano y Social,30,Sector Paraestatal,3029,Instituto Para las Mujeres Guanajuatenses,30,IMUG,E045,Acceso equitativo y oportunidades de desarrollo para mujeres y hombres,Q3195,Acceso de las mujeres a oportunidades de desarrollo en condiciones de igualdad,Jérecuaro," 165,000.00 "
2021,2021-03-31,2,Desarrollo Humano y Social,30,Sector Paraestatal,3029,Instituto Para las Mujeres Guanajuatenses,30,IMUG,E045,Acceso equitativo y oportunidades de desarrollo para mujeres y hombres,Q3195,Acceso de las mujeres a oportunidades de desarrollo en condiciones de igualdad,León," 1,018,517.00 "
2021,2021-03-31,2,Desarrollo Humano y Social,30,Sector Paraestatal,3029,Instituto Para las Mujeres Guanajuatenses,30,IMUG,E045,Acceso equitativo y oportunidades de desarrollo para mujeres y hombres,Q3195,Acceso de las mujeres a oportunidades de desarrollo en condiciones de igualdad,Manuel Doblado," 156,052.00 "
2021,2021-03-31,2,Desarrollo Humano y Social,30,Sector Paraestatal,3029,Instituto Para las Mujeres Guanajuatenses,30,IMUG,E045,Acceso equitativo y oportunidades de desarrollo para mujeres y hombres,Q3195,Acceso de las mujeres a oportunidades de desarrollo en condiciones de igualdad,Moroleón," 179,914.00 "
2021,2021-03-31,2,Desarrollo Humano y Social,30,Sector Paraestatal,3029,Instituto Para las Mujeres Guanajuatenses,30,IMUG,E045,Acceso equitativo y oportunidades de desarrollo para mujeres y hombres,Q3195,Acceso de las mujeres a oportunidades de desarrollo en condiciones de igualdad,Ocampo," 162,018.00 "
2021,2021-03-31,2,Desarrollo Humano y Social,30,Sector Paraestatal,3029,Instituto Para las Mujeres Guanajuatenses,30,IMUG,E045,Acceso equitativo y oportunidades de desarrollo para mujeres y hombres,Q3195,Acceso de las mujeres a oportunidades de desarrollo en condiciones de igualdad,Pénjamo," 260,086.00 "
